Start End Chromosome RecombinationRate cM midpoint
4700001 4800001 2L 5.1601 59 4750001
4800001 4900001 2L 9.4993 15 4850001
4900001 5000001 2L 6.3329 15 4950001
5000001 5100001 2L 5.5119 49 5050001
5100001 5200001 2L 3.5183 16 5150001
5200001 5300001 2L 7.0365 35.35 5250001
5300001 5400001 2L 1.8764 48.55 5350001
5400001 5500001 2L 3.1664 17 5450001
5500001 5600001 2L 4.2219 37.5 5550001
5600001 5700001 2L 2.111 37.04444444 5650001
5700001 5800001 2L 1.29 36.9 5750001
5800001 5900001 2L 1.5246 19.16 5850001
5900001 6000001 2L 2.2282 19.575 5950001
6000001 6100001 2L 2.3455 20 6050001
6100001 6200001 2L 1.29 15.66666667 6150001
6200001 6300001 2L 4.5737 38.725 6250001
6300001 6400001 2L 3.0492 20 6350001
6400001 6500001 2L 3.9874 17 6450001
6500001 6600001 2L 3.401 23 6550001
6600001 6700001 2L 3.7528 49.68 6650001
6700001 6800001 2L 1.5246 21 6750001
6800001 6900001 2L 3.5183 21.66666667 6850001
6900001 7000001 2L 1.8764 22 6950001
7000001 7100001 2L 10.2029 23.88 7050001
7100001 7200001 2L 3.9874 22 7150001
7200001 7300001 2L 2.6973 21.95 7250001
7300001 7400001 2L 2.4628 22 7350001
7400001 7500001 2L 1.6419 40.125 7450001
7500001 7600001 2L 2.5801 41.5 7550001
7600001 7700001 2L 2.111 24 7650001
7700001 7800001 2L 2.3455 24 7750001
7800001 7900001 2L 1.5246 44 7850001
7900001 8000001 2L 8.6784 27 7950001
8000001 8100001 2L 3.9874 57.85714286 8050001
8100001 8200001 2L 6.2156 27.55 8150001
8200001 8300001 2L 3.2837 28 8250001
8300001 8400001 2L 3.2837 27.05 8350001
8400001 8500001 2L 2.3455 30 8450001
8500001 8600001 2L 4.8083 30 8550001
8600001 8700001 2L 3.401 58.3125 8650001
8700001 8800001 2L 1.4073 33.2625 8750001
8800001 8900001 2L 2.8146 52.11 8850001
8900001 9000001 2L 4.2219 27.06666667 8950001
9000001 9100001 2L 1.5246 64.36666667 9050001
9100001 9200001 2L 2.3455 33.74285714 9150001
9200001 9300001 2L 2.4628 63.95714286 9250001
9300001 9400001 2L 0.1173 35 9350001
9400001 9500001 2L 2.3455 35 9450001
9500001 9600001 2L 4.9256 50.75 9550001
9600001 9700001 2L 3.1664 34 9650001
9700001 9800001 2L 4.3392 41 9750001
9800001 9900001 2L 5.3947 31 9850001
9900001 10000001 2L 1.5246 37 9950001
10000001 10100001 2L 8.092 47.90625 10050001
10100001 10200001 2L 9.4993 35.33333333 10150001
10200001 10300001 2L 6.5674 37.43333333 10250001
10300001 10400001 2L 3.6355 37.43333333 10350001
10400001 10500001 2L 3.2837 39 10450001
10500001 10600001 2L 3.8701 44.6 10550001
10600001 10700001 2L 2.8146 38.2 10650001
10700001 10800001 2L 3.401 68.33333333 10750001
10800001 10900001 2L 2.6973 40 10850001
10900001 11000001 2L 2.9319 33.42 10950001
11000001 11100001 2L 3.9874 42 11050001
11100001 11200001 2L 2.111 44 11150001
11200001 11300001 2L 1.8764 55.26 11250001
11300001 11400001 2L 2.3455 44 11350001
11400001 11500001 2L 1.1728 56.925 11450001
11500001 11600001 2L 0.9382 57 11550001
11600001 11700001 2L 1.4073 37.55555556 11650001
11700001 11800001 2L 1.4073 45 11750001
11800001 11900001 2L 1.9937 58.41666667 11850001
11900001 12000001 2L 2.2282 45 11950001
12000001 12100001 2L 2.9319 78.16 12050001
12100001 12200001 2L 4.2219 48 12150001
12200001 12300001 2L 7.6229 58.7 12250001
12300001 12400001 2L 2.111 48 12350001
12400001 12500001 2L 1.7591 58.92 12450001
12500001 12600001 2L 5.1601 46.5 12550001
12600001 12700001 2L 7.5056 47.875 12650001
12700001 12800001 2L 3.0492 76.93333333 12750001
12800001 12900001 2L 1.9937 75.66666667 12850001
12900001 13000001 2L 1.29 83.2 12950001
13000001 13100001 2L 2.9319 62.3875 13050001
13100001 13200001 2L 5.0428 60.8 13150001
13200001 13300001 2L 0.9382 85.1 13250001
13300001 13400001 2L 0.8209 47 13350001
13400001 13500001 2L 1.8764 48 13450001
13500001 13600001 2L 3.6355 44.19 13550001
13600001 13700001 2L 1.9937 44.125 13650001
13700001 13800001 2L 3.9874 48 13750001
13800001 13900001 2L 2.2282 66 13850001
13900001 14000001 2L 1.6419 78.66666667 13950001
14000001 14100001 2L 3.1664 67.5 14050001
14100001 14200001 2L 1.8764 78.44444444 14150001
14200001 14300001 2L 1.9937 52.275 14250001
14300001 14400001 2L 1.6419 50 14350001
14400001 14500001 2L 6.2156 50.1 14450001
14500001 14600001 2L 1.1728 50.1 14550001
14600001 14700001 2L 3.7528 44.33333333 14650001
14700001 14800001 2L 1.0555 60 14750001
14800001 14900001 2L 1.6419 47.33333333 14850001
14900001 15000001 2L 1.1728 50.83333333 14950001
15000001 15100001 2L 1.1728 80.73333333 15050001
15100001 15200001 2L 0.9382 81.68888889 15150001
15200001 15300001 2L 3.7528 51 15250001
15300001 15400001 2L 1.6419 51 15350001
15400001 15500001 2L 1.5246 48 15450001
15500001 15600001 2L 0.5864 51 15550001
15600001 15700001 2L 2.111 47.22222222 15650001
15700001 15800001 2L 1.0555 51.13333333 15750001
15800001 15900001 2L 0.2346 51 15850001
15900001 16000001 2L 0.8209 55.1 15950001
16000001 16100001 2L 0.4691 51 16050001
16100001 16200001 2L 0.7037 51.66666667 16150001
16200001 16300001 2L 1.5246 52 16250001
16300001 16400001 2L 3.5183 87.48333333 16350001
16400001 16500001 2L 3.9874 75.875 16450001
16500001 16600001 2L 3.8701 52.225 16550001
16600001 16700001 2L 2.8146 52 16650001
16700001 16800001 2L 4.2219 44 16750001
16800001 16900001 2L 1.6419 57.06666667 16850001
16900001 17000001 2L 5.6292 52.26666667 16950001
17000001 17100001 2L 1.9937 78.175 17050001
17100001 17200001 2L 1.5246 60.46 17150001
17200001 17300001 2L 2.3455 52.6 17250001
17300001 17400001 2L 1.1728 53 17350001
17400001 17500001 2L 1.6419 57.5 17450001
17500001 17600001 2L 0.1173 53 17550001
17600001 17700001 2L 0.1173 57.9 17650001
17700001 17800001 2L 0.4691 79.25 17750001
17800001 17900001 2L 0.4691 45 17850001
17900001 18000001 2L 1.9937 53 17950001
18000001 18100001 2L 0.9382 64 18050001
18100001 18200001 2L 0.7037 53 18150001
18200001 18300001 2L 0.4691 53 18250001
18300001 18400001 2L 0.3518 59.09 18350001
18400001 18500001 2L 0.2346 81.975 18450001
18500001 18600001 2L 0.2346 54 18550001
18600001 18700001 2L 0.2346 53.9 18650001
18700001 18800001 2L 0.2346 96.7 18750001
18800001 18900001 2L 1.4073 53.9 18850001
18900001 19000001 2L 0.1173 53.9 18950001
19000001 19100001 2L 0.1173 80.46 19050001
19100001 19200001 2L 0.4691 63.175 19150001
19200001 19300001 2L 0.4691 54 19250001
19300001 19400001 2L 0 54 19350001
19400001 19500001 2L 0.3518 52 19450001
19500001 19600001 2L 0.1173 56.96666667 19550001
19600001 19700001 2L 0.2346 54 19650001
19700001 19800001 2L 0.1173 85.9 19750001
19800001 19900001 2L 1.1728 99 19850001
19900001 20000001 2L 0.2346 54.25 19950001
20000001 20100001 2L 0.5864 76 20050001
20100001 20200001 2L 0.1173 85.9 20150001
20200001 20300001 2L 0.2346 64.7 20250001
20300001 20400001 2L 0 76.88888889 20350001
20400001 20500001 2L 0.2346 58 20450001
20500001 20600001 2L 0.7037 54 20550001
20600001 20700001 2L 0.3518 46 20650001
20700001 20800001 2L 0.2346 46.6 20750001
20800001 20900001 2L 0 54 20850001
20900001 21000001 2L 2.3455 73.375 20950001
21000001 21100001 2L 1.1728 54.1 21050001
21100001 21200001 2L 0.3518 53.33333333 21150001
21200001 21300001 2L 0.1173 56.675 21250001
21300001 21400001 2L 0.1173 73 21350001
21400001 21500001 2L 0 87.75 21450001
21500001 21600001 2L 0.3518 89.25 21550001
21600001 21700001 2L 0 74.16666667 21650001
21700001 21800001 2L 0 89.8 21750001
21800001 21900001 2L 0 61.03333333 21850001
21900001 22000001 2L 0 47 21950001
22000001 22100001 2L 0.1173 78.78571429 22050001
22100001 22200001 2L 0 53.35714286 22150001
22200001 22300001 2L 2.8146 91 22250001
22300001 22400001 2L 3.8701 91 22350001
22400001 22500001 2L 0.3518 91 22450001
22500001 22600001 2L 0.1173 91 22550001
22600001 22700001 2L 0 69 22650001
22700001 22800001 2L 0 91.18333333 22750001
22800001 22900001 2L 0.2346 69.25 22850001
22900001 23011544 2L 0 92.81481481 22955772.5
1 100001 2R 0 0.7 50001
100001 200001 2R 0 0 150001
200001 300001 2R 0 15.96666667 250001
300001 400001 2R 0 0.125 350001
400001 500001 2R 0 0.0375 450001
500001 600001 2R 0 0.14 550001
600001 700001 2R 0 15.9 650001
700001 800001 2R 0.1085 0.1 750001
800001 900001 2R 1.1931 1.2625 850001
900001 1000001 2R 0.2169 55.2 950001
1000001 1100001 2R 0.5423 1.114285714 1050001
1100001 1200001 2R 0 0.185714286 1150001
1200001 1300001 2R 0 55.2 1250001
1300001 1400001 2R 0 1.5 1350001
1400001 1500001 2R 0.4339 55.2 1450001
1500001 1600001 2R 1.1931 56 1550001
1600001 1700001 2R 0.2169 23.8 1650001
1700001 1800001 2R 0.2169 56 1750001
1800001 1900001 2R 0 56 1850001
1900001 2000001 2R 0.3254 1.191666667 1950001
2000001 2100001 2R 0.5423 0.811428571 2050001
2100001 2200001 2R 0 0.986666667 2150001
2200001 2300001 2R 0.2169 1.977777778 2250001
2300001 2400001 2R 0 3.3 2350001
2400001 2500001 2R 0.9762 57.05 2450001
2500001 2600001 2R 0.5423 24.5125 2550001
2600001 2700001 2R 0.5423 57 2650001
2700001 2800001 2R 0.1085 57 2750001
2800001 2900001 2R 0.1085 57.075 2850001
2900001 3000001 2R 1.8439 25.25 2950001
3000001 3100001 2R 0.4339 58 3050001
3100001 3200001 2R 0.2169 58 3150001
3200001 3300001 2R 0.7592 5.666666667 3250001
3300001 3400001 2R 2.3862 7 3350001
3400001 3500001 2R 0.5423 58 3450001
3500001 3600001 2R 2.2777 7.5 3550001
3600001 3700001 2R 0.3254 9.6 3650001
3700001 3800001 2R 2.2777 58 3750001
3800001 3900001 2R 0.5423 16.86666667 3850001
3900001 4000001 2R 0.4339 58.2 3950001
4000001 4100001 2R 1.41 7.316666667 4050001
4100001 4200001 2R 0.2169 58 4150001
4200001 4300001 2R 0.8677 14.16666667 4250001
4300001 4400001 2R 0.2169 11.42857143 4350001
4400001 4500001 2R 1.3016 8.571428571 4450001
4500001 4600001 2R 1.0846 59 4550001
4600001 4700001 2R 0.3254 59 4650001
4700001 4800001 2R 0.5423 59 4750001
4800001 4900001 2R 1.3016 26.11111111 4850001
4900001 5000001 2R 1.41 59 4950001
5000001 5100001 2R 0.8677 59 5050001
5100001 5200001 2R 0.6508 60 5150001
5200001 5300001 2R 2.4947 59 5250001
5300001 5400001 2R 5.5317 48.7 5350001
5400001 5500001 2R 2.6031 60 5450001
5500001 5600001 2R 1.1931 61 5550001
5600001 5700001 2R 3.9047 31.23333333 5650001
5700001 5800001 2R 1.0846 60 5750001
5800001 5900001 2R 0.7592 60 5850001
5900001 6000001 2R 1.7354 29.55 5950001
6000001 6100001 2R 0.9762 20.25 6050001
6100001 6200001 2R 3.2539 18.33333333 6150001
6200001 6300001 2R 2.2777 61 6250001
6300001 6400001 2R 1.9524 60 6350001
6400001 6500001 2R 2.4947 61.9 6450001
6500001 6600001 2R 2.1693 62 6550001
6600001 6700001 2R 3.2539 49.52 6650001
6700001 6800001 2R 4.3386 21.5 6750001
6800001 6900001 2R 3.1455 64 6850001
6900001 7000001 2R 8.0263 64 6950001
7000001 7100001 2R 4.1216 24.84 7050001
7100001 7200001 2R 2.7116 64 7150001
7200001 7300001 2R 1.41 64 7250001
7300001 7400001 2R 2.4947 25.625 7350001
7400001 7500001 2R 3.9047 43.75 7450001
7500001 7600001 2R 7.701 63 7550001
7600001 7700001 2R 2.0608 65.5 7650001
7700001 7800001 2R 1.3016 65.85 7750001
7800001 7900001 2R 2.9285 67 7850001
7900001 8000001 2R 8.2433 67 7950001
8000001 8100001 2R 2.6031 55.57142857 8050001
8100001 8200001 2R 5.8571 35.36666667 8150001
8200001 8300001 2R 3.3624 68 8250001
8300001 8400001 2R 3.3624 35.26666667 8350001
8400001 8500001 2R 3.9047 70 8450001
8500001 8600001 2R 6.8332 28.125 8550001
8600001 8700001 2R 8.4602 69 8650001
8700001 8800001 2R 1.5185 39.525 8750001
8800001 8900001 2R 5.7486 52.14 8850001
8900001 9000001 2R 2.3862 26.13333333 8950001
9000001 9100001 2R 1.0846 70.3 9050001
9100001 9200001 2R 2.3862 39.78571429 9150001
9200001 9300001 2R 2.3862 70 9250001
9300001 9400001 2R 1.7354 70.3 9350001
9400001 9500001 2R 2.2777 72 9450001
9500001 9600001 2R 2.8201 70.5 9550001
9600001 9700001 2R 1.0846 31 9650001
9700001 9800001 2R 3.5793 34.5 9750001
9800001 9900001 2R 2.1693 38.66666667 9850001
9900001 10000001 2R 6.7248 39.18125 9950001
10000001 10100001 2R 3.6878 50.0875 10050001
10100001 10200001 2R 4.2301 35.75333333 10150001
10200001 10300001 2R 5.2063 73 10250001
10300001 10400001 2R 1.7354 42.95555556 10350001
10400001 10500001 2R 3.3624 44.33333333 10450001
10500001 10600001 2R 2.4947 39.4 10550001
10600001 10700001 2R 1.9524 43.8 10650001
10700001 10800001 2R 1.41 75 10750001
10800001 10900001 2R 4.3386 77 10850001
10900001 11000001 2R 6.074 33.44 10950001
11000001 11100001 2R 1.0846 37.25 11050001
11100001 11200001 2R 1.3016 48.36666667 11150001
11200001 11300001 2R 3.3624 76 11250001
11300001 11400001 2R 1.3016 41.9625 11350001
11400001 11500001 2R 4.447 78 11450001
11500001 11600001 2R 2.9285 78 11550001
11600001 11700001 2R 4.1216 39.04444444 11650001
11700001 11800001 2R 2.1693 78 11750001
11800001 11900001 2R 3.9047 80 11850001
11900001 12000001 2R 3.5793 77 11950001
12000001 12100001 2R 6.7248 78.45 12050001
12100001 12200001 2R 8.1348 41.95 12150001
12200001 12300001 2R 3.1455 58.8 12250001
12300001 12400001 2R 4.447 42.5 12350001
12400001 12500001 2R 4.5555 58.88 12450001
12500001 12600001 2R 8.1348 83 12550001
12600001 12700001 2R 3.5793 42.4125 12650001
12700001 12800001 2R 2.0608 86 12750001
12800001 12900001 2R 2.9285 84 12850001
12900001 13000001 2R 1.627 83 12950001
13000001 13100001 2R 2.9285 83.375 13050001
13100001 13200001 2R 1.7354 81.5 13150001
13200001 13300001 2R 4.9894 86 13250001
13300001 13400001 2R 2.8201 51.66666667 13350001
13400001 13500001 2R 0.5423 47.1 13450001
13500001 13600001 2R 3.037 43.98 13550001
13600001 13700001 2R 2.3862 44.9 13650001
13700001 13800001 2R 4.0132 52.66666667 13750001
13800001 13900001 2R 7.8094 87 13850001
13900001 14000001 2R 4.447 87 13950001
14000001 14100001 2R 3.1455 87 14050001
14100001 14200001 2R 5.6401 86.66666667 14150001
14200001 14300001 2R 3.1455 46.6375 14250001
14300001 14400001 2R 3.2539 87 14350001
14400001 14500001 2R 3.1455 92.75 14450001
14500001 14600001 2R 7.2671 49.075 14550001
14600001 14700001 2R 3.6878 42.66666667 14650001
14700001 14800001 2R 8.8941 57.5 14750001
14800001 14900001 2R 3.5793 44.66666667 14850001
14900001 15000001 2R 4.1216 55.95555556 14950001
15000001 15100001 2R 5.6401 88 15050001
15100001 15200001 2R 4.8809 89.43333333 15150001
15200001 15300001 2R 4.2301 51 15250001
15300001 15400001 2R 2.2777 51 15350001
15400001 15500001 2R 1.9524 45 15450001
15500001 15600001 2R 1.3016 93 15550001
15600001 15700001 2R 0.4339 43.61111111 15650001
15700001 15800001 2R 1.627 51.1 15750001
15800001 15900001 2R 1.7354 92 15850001
15900001 16000001 2R 0.2169 49.15 15950001
16000001 16100001 2R 3.037 97 16050001
16100001 16200001 2R 4.5555 97 16150001
16200001 16300001 2R 5.3147 57.48333333 16250001
16300001 16400001 2R 3.3624 97 16350001
16400001 16500001 2R 3.7962 97 16450001
16500001 16600001 2R 6.7248 48.1625 16550001
16600001 16700001 2R 3.5793 98.33333333 16650001
16700001 16800001 2R 2.7116 44 16750001
16800001 16900001 2R 7.1586 61.42222222 16850001
16900001 17000001 2R 2.6031 48.13333333 16950001
17000001 17100001 2R 5.4232 100 17050001
17100001 17200001 2R 7.484 64.22 17150001
17200001 17300001 2R 2.6031 59.06666667 17250001
17300001 17400001 2R 2.4947 58.66666667 17350001
17400001 17500001 2R 6.074 51.25 17450001
17500001 17600001 2R 5.0978 49 17550001
17600001 17700001 2R 2.6031 57.9 17650001
17700001 17800001 2R 2.4947 100.6 17750001
17800001 17900001 2R 1.7354 45 17850001
17900001 18000001 2R 2.7116 102 17950001
18000001 18100001 2R 2.1693 54.5 18050001
18100001 18200001 2R 2.4947 103.5 18150001
18200001 18300001 2R 0.9762 49 18250001
18300001 18400001 2R 8.3517 59.18 18350001
18400001 18500001 2R 3.1455 104.5 18450001
18500001 18600001 2R 1.627 55.5 18550001
18600001 18700001 2R 2.2777 105.6666667 18650001
18700001 18800001 2R 3.1455 106 18750001
18800001 18900001 2R 2.4947 106 18850001
18900001 19000001 2R 3.1455 106.6 18950001
19000001 19100001 2R 2.3862 80.09 19050001
19100001 19200001 2R 1.41 55.0875 19150001
19200001 19300001 2R 0.8677 107.1 19250001
19300001 19400001 2R 7.484 106.6666667 19350001
19400001 19500001 2R 6.3994 48.9 19450001
19500001 19600001 2R 3.7962 51.48333333 19550001
19600001 19700001 2R 5.8571 63.11666667 19650001
19700001 19800001 2R 1.8439 107.8 19750001
19800001 19900001 2R 2.1693 108 19850001
19900001 20000001 2R 1.5185 107.55 19950001
20000001 20100001 2R 1.7354 73 20050001
20100001 20200001 2R 3.4709 107.8 20150001
20200001 20300001 2R 1.3016 55.55 20250001
20300001 20400001 2R 2.3862 73.66666667 20350001
20400001 20500001 2R 1.3016 52 20450001
20500001 20600001 2R 2.3862 50 20550001
20600001 20700001 2R 1.8439 46 20650001
20700001 20800001 2R 3.5793 46.8 20750001
20800001 20900001 2R 0.2169 57.875 20850001
20900001 21000001 2R 0.1085 77.25 20950001
21000001 21146708 2R 0 59.31666667 21073354.5
1 100001 3L 0 1.4 50001
100001 200001 3L 0 0 150001
200001 300001 3L 0.2077 31.53333333 250001
300001 400001 3L 0.8999 0 350001
400001 500001 3L 0.4154 0.025 450001
500001 600001 3L 0.4154 0.18 550001
600001 700001 3L 1.3153 31.5 650001
700001 800001 3L 2.4229 0 750001
800001 900001 3L 1.4537 0.875 850001
900001 1000001 3L 1.3153 51.15 950001
1000001 1100001 3L 2.6998 0.928571429 1050001
1100001 1200001 3L 2.2845 0 1150001
1200001 1300001 3L 1.6614 0 1250001
1300001 1400001 3L 1.523 0 1350001
1400001 1500001 3L 3.669 0.2 1450001
1500001 1600001 3L 3.5305 51.6 1550001
1600001 1700001 3L 1.6614 16 1650001
1700001 1800001 3L 1.3845 1.45 1750001
1800001 1900001 3L 3.1844 1.466666667 1850001
1900001 2000001 3L 3.9459 1.5 1950001
2000001 2100001 3L 1.4537 0.874285714 2050001
2100001 2200001 3L 4.8458 0.98 2150001
2200001 2300001 3L 2.0075 2.483333333 2250001
2300001 2400001 3L 2.0768 2.6 2350001
2400001 2500001 3L 1.2461 52.175 2450001
2500001 2600001 3L 4.4305 36.06875 2550001
2600001 2700001 3L 2.769 52.25 2650001
2700001 2800001 3L 5.4688 52.25 2750001
2800001 2900001 3L 0.9692 3 2850001
2900001 3000001 3L 2.0075 36.375 2950001
3000001 3100001 3L 1.1768 52.875 3050001
3100001 3200001 3L 1.3153 5 3150001
3200001 3300001 3L 2.0768 6.5 3250001
3300001 3400001 3L 1.2461 5 3350001
3400001 3500001 3L 2.2152 6 3450001
3500001 3600001 3L 1.4537 6 3550001
3600001 3700001 3L 1.1076 9.2 3650001
3700001 3800001 3L 4.0843 52.98333333 3750001
3800001 3900001 3L 4.4997 6.5 3850001
3900001 4000001 3L 3.5997 15 3950001
4000001 4100001 3L 2.4229 8 4050001
4100001 4200001 3L 2.8383 13.875 4150001
4200001 4300001 3L 2.2845 18 4250001
4300001 4400001 3L 3.5305 10.85714286 4350001
4400001 4500001 3L 2.2152 8 4450001
4500001 4600001 3L 4.0843 15 4550001
4600001 4700001 3L 6.5765 59 4650001
4700001 4800001 3L 2.2152 19 4750001
4800001 4900001 3L 2.146 37.22222222 4850001
4900001 5000001 3L 3.1152 19 4950001
5000001 5100001 3L 5.0535 54 5050001
5100001 5200001 3L 1.523 54.5 5150001
5200001 5300001 3L 5.1227 53.625 5250001
5300001 5400001 3L 2.6306 48.85 5350001
5400001 5500001 3L 1.7306 54.25 5450001
5500001 5600001 3L 1.8691 54.83333333 5550001
5600001 5700001 3L 1.7999 25.42222222 5650001
5700001 5800001 3L 2.3537 16.2 5750001
5800001 5900001 3L 2.769 20 5850001
5900001 6000001 3L 1.4537 39.525 5950001
6000001 6100001 3L 0.8999 20.5 6050001
6100001 6200001 3L 1.3153 21 6150001
6200001 6300001 3L 0.8999 21 6250001
6300001 6400001 3L 2.146 54 6350001
6400001 6500001 3L 1.0384 52.175 6450001
6500001 6600001 3L 3.1844 21 6550001
6600001 6700001 3L 0.6923 49.36 6650001
6700001 6800001 3L 1.3845 22 6750001
6800001 6900001 3L 1.6614 22.2 6850001
6900001 7000001 3L 3.1152 21 6950001
7000001 7100001 3L 2.6306 25.8 7050001
7100001 7200001 3L 5.1227 57.5 7150001
7200001 7300001 3L 3.3228 23 7250001
7300001 7400001 3L 1.9383 29.25 7350001
7400001 7500001 3L 3.1152 47.375 7450001
7500001 7600001 3L 2.0075 53.25 7550001
7600001 7700001 3L 1.1076 23 7650001
7700001 7800001 3L 0.8307 59.425 7750001
7800001 7900001 3L 3.2536 25 7850001
7900001 8000001 3L 2.6998 64.71428571 7950001
8000001 8100001 3L 4.4305 53.28571429 8050001
8100001 8200001 3L 1.8691 43.18333333 8150001
8200001 8300001 3L 1.9383 59.5 8250001
8300001 8400001 3L 2.2152 43.48333333 8350001
8400001 8500001 3L 2.6306 60.425 8450001
8500001 8600001 3L 3.8766 26.25 8550001
8600001 8700001 3L 3.669 26.4 8650001
8700001 8800001 3L 3.8766 45.7875 8750001
8800001 8900001 3L 2.6306 52.17 8850001
8900001 9000001 3L 1.4537 25.2 8950001
9000001 9100001 3L 1.1076 27 9050001
9100001 9200001 3L 5.0535 45.82857143 9150001
9200001 9300001 3L 7.8225 27.75 9250001
9300001 9400001 3L 2.9075 28.45 9350001
9400001 9500001 3L 0.6923 62 9450001
9500001 9600001 3L 3.669 28 9550001
9600001 9700001 3L 3.1844 28 9650001
9700001 9800001 3L 3.3921 28 9750001
9800001 9900001 3L 1.1076 46.33333333 9850001
9900001 10000001 3L 2.5614 41.3625 9950001
10000001 10100001 3L 1.0384 52.26875 10050001
10100001 10200001 3L 2.9075 36.17333333 10150001
10200001 10300001 3L 1.1768 59 10250001
10300001 10400001 3L 2.0768 48.47777778 10350001
10400001 10500001 3L 5.2612 49.66666667 10450001
10500001 10600001 3L 7.5456 34.2 10550001
10600001 10700001 3L 3.4613 49.4 10650001
10700001 10800001 3L 3.9459 61 10750001
10800001 10900001 3L 3.5305 62.46666667 10850001
10900001 11000001 3L 4.292 33.46 10950001
11000001 11100001 3L 4.2228 32.5 11050001
11100001 11200001 3L 3.1152 52.73333333 11150001
11200001 11300001 3L 4.0843 62 11250001
11300001 11400001 3L 3.0459 39.925 11350001
11400001 11500001 3L 3.1844 35 11450001
11500001 11600001 3L 2.769 37 11550001
11600001 11700001 3L 0.623 40.53333333 11650001
11700001 11800001 3L 0.4154 36 11750001
11800001 11900001 3L 1.6614 69.05 11850001
11900001 12000001 3L 1.8691 77.29 11950001
12000001 12100001 3L 3.4613 37 12050001
12100001 12200001 3L 1.4537 35.9 12150001
12200001 12300001 3L 1.5922 58.9 12250001
12300001 12400001 3L 2.2152 37 12350001
12400001 12500001 3L 5.9534 58.84 12450001
12500001 12600001 3L 6.5072 70.9 12550001
12600001 12700001 3L 4.2228 36.95 12650001
12700001 12800001 3L 2.2152 72.5 12750001
12800001 12900001 3L 3.3921 83.8 12850001
12900001 13000001 3L 2.6306 69.13333333 12950001
13000001 13100001 3L 1.8691 40 13050001
13100001 13200001 3L 2.2152 82.4 13150001
13200001 13300001 3L 1.8691 40 13250001
13300001 13400001 3L 1.523 56.33333333 13350001
13400001 13500001 3L 1.3153 46.2 13450001
13500001 13600001 3L 1.4537 43.77 13550001
13600001 13700001 3L 0.4846 45.675 13650001
13700001 13800001 3L 0.6923 57.33333333 13750001
13800001 13900001 3L 1.2461 41 13850001
13900001 14000001 3L 3.2536 41 13950001
14000001 14100001 3L 1.9383 40.7 14050001
14100001 14200001 3L 0.9692 41.7 14150001
14200001 14300001 3L 2.2845 41 14250001
14300001 14400001 3L 1.3845 77.775 14350001
14400001 14500001 3L 0.8999 78.675 14450001
14500001 14600001 3L 1.1076 48.05 14550001
14600001 14700001 3L 0.3461 41 14650001
14700001 14800001 3L 0.4846 55 14750001
14800001 14900001 3L 0.7615 42 14850001
14900001 15000001 3L 0.3461 61.07777778 14950001
15000001 15100001 3L 0.7615 77.1 15050001
15100001 15200001 3L 1.0384 76.62222222 15150001
15200001 15300001 3L 1.5922 51 15250001
15300001 15400001 3L 1.4537 51 15350001
15400001 15500001 3L 1.6614 42 15450001
15500001 15600001 3L 1.2461 42 15550001
15600001 15700001 3L 1.523 40 15650001
15700001 15800001 3L 3.669 51.06666667 15750001
